,seats,kms_driven,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1456,5,88935,2016,21.66,1498,1498,10352,4.85
1457,5,53681,2018,19.69,1198,1198,6704,3.04
1458,7,60000,2018,15.96,2523,2523,621,5.65
1459,5,49441,2015,21.19,1396,1396,8873,4.89
1460,7,41000,2019,13.68,2393,2393,1478,16.95
1461,5,23838,2021,20.65,1462,1462,10325,8.85
1462,5,26719,2021,16.4,1896,1896,90,7.89
1464,7,27236,2017,18.49,1493,1493,100,6.5
1465,5,41080,2015,25.1,1498,1498,986,5.9
1466,5,72793,2016,23.59,1364,1364,6704,4.55
1467,5,64000,2014,20.36,1197,1197,789,2.35
1468,5,30000,2020,16.38,1999,1999,177,39
1469,5,32002,2017,20.89,1197,1197,8180,4.41
1470,5,105000,2018,19.87,1461,1461,838,5.25
1471,5,30000,2017,22.69,1995,1995,190,16
1472,5,20827,2020,20.52,1197,1197,8180,4.6
1473,7,37852,2017,16.5,1493,1493,70,6.75
1474,5,16683,2022,14.6,1956,1956,16767,19.24
1475,5,53135,2011,1197,789,789,1117,1.8
1476,5,32230,2017,18.9,1197,1197,8186,5.13
1477,5,11000,2022,20.37,1995,1995,18774,69.5
1478,5,10400,2022,18.41,999,999,11398,16.35
1479,5,23748,2022,20.7,1197,1197,8186,6.55
1480,5,13513,2018,18.3,1199,1199,8876,7.65
1481,5,12952,2022,17.05,1199,1199,11835,10.99
1482,5,22672,2014,18.9,1197,1197,82,3.84
1483,5,23000,2012,18.9,998,998,671,2.9
1484,5,41048,2017,18.6,1197,1197,8183,5.48
1486,5,10000,2021,20.37,1995,1995,18774,58.75
1487,5,1800,2013,20.36,1197,1197,789,3.15
1488,5,34000,2019,16,1368,1368,16077,17.5
1489,5,40000,2016,21.4,1197,1197,831,4.7
1490,5,30000,2021,18.76,1462,1462,10326,11.4
1491,5,22700,2018,18.9,1197,1197,8186,5.45
1492,7,28000,2019,10.54,2998,2998,33525,99
1493,5,79862,2010,1061,67,67,84,1.69
1494,5,29146,2018,13,1591,1591,1213,11.35
